ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.5,16,,16.800000000000008,16.800000000000008,127.4,0.0,110.6,0.0,Wed 11-25 11-25,H,159 (Ⅲ),Bowling Green,"W, 96-82",74,129.9,62.3,13.5,31.3,42.6,111.0,45.7,8.1,26.1,31.4,30.0,-13.5,148.0,127.4,0.0,127.4,127.4,110.6,0.0,110.6,110.6,20201125,114.9,93.6,21.30000000000001,107.0,103.3,3.700000000000003,109.6,88.7,20.95,72.3,-20.494866851754665,149.13298090262083,75.48819345661451,-19.021969336460884,169.1676787246597,-9.01067256466537,169.1676787246597,-19.021969336460884,169.1676787246597,-9.01067256466537,210.59952300369335,99.3,100.2,-0.88,73.4,114.9,93.6,21.30000000000001,107.0,103.3,3.700000000000003,-9.01067256466537,210.59952300369335,0,107.48195179999999,107.6224797,-0.14052790000000925,2.0134998669999997,107.6224797,107.48195179999999,0.14052790000000925,2.294555559,2020-11-25,-4.761437517412958,178.40524031763664,-1.9470345772861606,178.40524031763664,-4.949999999999999,-4.949999999999999,0.0,0.0,-4.949999999999999,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-4.1499999999999915,,0.0,-4.949999999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-21.5,0,,11.100000000000007,13.690909090909097,88.8,0.0,89.1,0.0,Sun 11-29 11-29,H,221 (Ⅳ),Oakland,"W, 81-71 OT",83,98.0,53.2,24.2,29.4,35.5,85.9,39.1,19.4,20.5,39.1,6.0,-31.5,146.0,108.1,127.4,114.53333333333336,120.38181818181818,99.85,110.6,103.43333333333334,106.69090909090907,20201129,112.3,91.0,21.3,92.3,104.6,-12.299999999999995,111.7,91.1,20.61,72.8,-28.8330258141455,155.7415139976485,76.11379800853484,-30.406248288799,157.34335976974396,-45.55271818296579,157.34335976974396,-30.406248288799,157.34335976974396,-45.55271818296579,169.22513504695232,94.6,106.1,-11.43,73.5,112.3,91.0,21.3,92.3,104.6,-12.299999999999995,-45.820983303973485,169.18583986792868,0,104.7397167965933,106.57747729217331,-1.8377604955800138,-0.6988366482852002,87.81235487747934,107.13387348771009,-19.321518610230754,-12.10561762763289,2020-11-29,-18.956835849126335,160.3949894421009,-10.676877187644308,160.3949894421009,-20.61,-25.56,-4.949999999999999,-4.949999999999999,-20.61,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-9.509999999999993,,-4.1499999999999915,-12.780000000000001,-4.949999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
3.5,26,14.200000000000005,16.100000000000005,15.947107438016534,114.3,110.16666666666669,88.2,95.96666666666664,Wed 12-02 12-02,H,148 (Ⅳ),Ball St.,"W, 84-65",73,114.6,59.3,17.7,32.1,32.2,88.7,45.1,17.7,17.9,26.2,8.0,-15.5,141.0,111.2,108.1,114.45555555555555,119.27603305785122,94.025,99.85,98.35555555555555,103.3289256198347,20201202,110.6,91.4,19.19999999999999,96.5,95.9,0.5999999999999943,110.5,91.2,19.33,72.2,-15.67894516525962,145.295972228738,73.02162162162163,-17.398567060819673,145.41853680744697,-15.512001173367619,145.41853680744697,-17.398567060819673,145.41853680744697,-15.512001173367619,161.94941946354388,100.6,97.5,3.11,71.1,110.6,91.4,19.19999999999999,96.5,95.9,0.5999999999999943,-15.58962167571455,161.97974702627562,0,96.67583368102717,105.87311060293564,-9.197276921908468,-18.762677247228602,103.48610256306878,101.67281784967736,1.8132847133914254,2.4687937111934053,2020-12-02,4.07066918633673,154.9567149711135,13.625531794322093,154.9567149711135,6.670000000000002,-18.889999999999997,-11.82,-25.56,-7.069999999999997,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3.2299999999999933,-5.129999999999994,-9.509999999999993,-6.296666666666667,-12.780000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.0,24,16.866666666666664,19.000000000000004,17.55672426746807,118.6,107.23333333333336,93.8,90.36666666666667,Sun 12-06 12-06,H,94 (Ⅲ),UCF,"W, 80-58",65,123.1,56.2,15.4,41.2,12.3,89.2,39.2,13.8,23.1,18.3,-4.0,-13.0,142.0,114.9,111.2,115.83703703703705,119.15311795642373,93.9125,94.025,96.83703703703705,101.59639368895564,20201206,110.7,91.3,19.400000000000006,97.3,93.9,3.3999999999999915,110.4,90.8,19.63,72.4,-13.066169467833546,141.2292547692631,73.84182076813656,-15.480231478868973,145.82996040385763,2.6752956702150836,145.82996040385763,-15.480231478868973,145.82996040385763,2.6752956702150836,114.45642064657817,98.8,92.5,6.34,71.7,110.7,91.3,19.400000000000006,97.3,93.9,3.3999999999999915,2.5853741887641704,114.7554344906019,0,100.74039012396612,100.87651860183277,-0.13612847786664872,-6.344804727410492,90.31812688271,84.80746052659906,5.510666356110946,8.646701617267514,2020-12-06,0.5525989763765295,133.13512279371702,8.978633587913663,133.13512279371702,4.370000000000001,-14.519999999999996,-14.176666666666666,-18.889999999999997,-0.34333333333333016,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-0.6299999999999955,-2.7633333333333354,-3.2299999999999933,-3.629999999999999,-6.296666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,37,29.5,25.200000000000006,21.200956218837508,131.0,121.3,93.4,91.8,Wed 12-09 12-09,H,76 (Ⅱ),Toledo,"W, 91-71",69,131.6,65.3,11.6,33.3,30.5,102.7,47.7,20.3,31.6,18.8,16.5,-14.5,145.5,122.95,114.9,120.89135802469141,121.30709650980124,93.65625,93.9125,95.69135802469135,100.10614029096372,20201209,111.3,91.9,19.399999999999988,103.5,98.4,5.099999999999994,111.4,90.9,20.51,71.5,-14.052250788920801,145.08227527721266,71.09317211948792,-14.644324331425082,149.1530427794318,-7.020925973255045,149.1530427794318,-14.644324331425082,149.1530427794318,-7.020925973255045,146.6586791247571,104.8,98.2,6.58,69.9,111.3,91.9,19.399999999999988,103.5,98.4,5.099999999999994,-7.6358006037854445,146.6690791061139,0,105.96274885418,100.07615707638746,5.886591777792546,1.6060648538397282,102.36731879140987,97.45109133502888,4.9162274563809945,-4.178472681401873,2020-12-09,-4.7830835190195415,149.65577285809314,-6.077416757048866,149.65577285809314,16.49,1.9700000000000024,-14.29111111111111,-14.519999999999996,16.261111111111113,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,4.690000000000005,8.989999999999998,-0.6299999999999955,0.3940000000000019,-3.629999999999999,1,-1.0,1,1,-1,3,-3.0,-3.0
-3.0,19,27.33333333333333,23.333333333333336,20.909873269957963,99.0,116.2,79.4,88.86666666666666,Sun 12-13 12-13,H,46 (Ⅱ),Penn St.,"W, 62-58",67,92.8,50.0,23.9,15.4,44.4,86.8,36.2,12.0,28.9,23.1,-27.0,-7.0,147.0,110.975,122.95,113.5942386831276,117.25126078074643,86.528125,93.65625,90.26090534979427,96.3413875107885,20201213,114.9,93.6,21.30000000000001,107.2,95.4,11.799999999999995,112.7,91.6,21.12,71.4,-7.983613942577463,149.5682534970244,73.2281650071124,-11.344799800732275,157.38380514769835,-1.4080337120055377,157.38380514769835,-11.344799800732275,157.38380514769835,-1.4080337120055377,161.36368939441238,109.1,93.3,15.77,72.1,114.9,93.6,21.30000000000001,107.2,95.4,11.799999999999995,-1.1882633319270441,160.79656316663846,0,110.67529988074811,99.24966620032384,11.42563368042427,10.478185664687217,110.09534403755848,97.36703870730088,12.728305330257598,7.235839877687908,2020-12-13,-3.4197449095290438,162.45603639406042,-4.606302125154173,162.45603639406042,-2.120000000000001,-0.14999999999999858,-8.87074074074074,1.9700000000000024,8.720740740740741,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,2.2133333333333347,6.213333333333328,4.690000000000005,-0.02500000000000213,0.3940000000000019,1,1.0,1,-1,1,1,3.0,-3.0
3.5,22,26.566666666666666,23.055555555555557,21.19898722087469,118.6,116.2,96.1,89.63333333333333,Fri 12-25 12-25,A,88 (Ⅱ),Nebraska,"W, 80-69",73,109.5,58.5,20.5,25.8,23.7,94.4,44.5,10.9,18.6,31.3,-1.5,-7.5,150.5,114.7875,110.975,115.26282578875174,117.49648609333799,91.3140625,86.528125,92.20727023319617,96.29749887246332,20201225,112.9,92.3,20.600000000000012,101.9,93.8,8.100000000000009,113.0,91.6,21.34,69.3,-7.45149859757835,145.66381868353227,72.65163584637268,-4.642598391286668,148.30894827414292,-3.397448550219172,148.30894827414292,-4.642598391286668,148.30894827414292,-3.397448550219172,136.14808736857205,101.5,96.4,5.1,73.7,112.9,92.3,20.600000000000012,101.9,93.8,8.100000000000009,-1.8478265726516068,140.18510374318456,0,110.01237685573915,91.77028248818593,18.24209436755322,19.11272134025597,96.36478695133324,94.45104104452578,1.9137459068074634,6.987532809579678,2020-12-25,-7.495657709045588,142.57831861263082,-6.509430350895826,142.57831861263082,0.6600000000000001,0.5100000000000016,-5.963827160493826,-0.14999999999999858,6.473827160493828,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1.7155555555555573,5.226666666666667,2.2133333333333347,0.07285714285714207,-0.02500000000000213,1,1.0,1,1,-1,3,1.0,3.0
8.0,35,25.93333333333333,27.27037037037037,23.835534998897465,135.1,117.56666666666668,99.4,91.63333333333333,Thu 12-31 12-31,A,34 (I-A),Maryland,"W, 84-73",67,125.0,64.7,17.9,22.7,39.2,108.7,59.5,17.9,20.0,10.3,14.5,-3.0,142.5,124.94375,114.7875,121.87521719250117,120.69712498545833,95.35703125,91.3140625,94.60484682213078,96.86158998656087,20201231,113.4,92.9,20.5,112.2,97.4,14.799999999999995,113.4,92.0,21.41,69.3,1.0106141510970872,140.28167236399858,66.5398293029872,-0.14173592643602717,146.32290584434725,-10.137291278157116,146.32290584434725,-0.14173592643602717,146.32290584434725,-10.137291278157116,143.85860055067482,112.8,95.4,17.35,67.5,113.4,92.9,20.5,112.2,97.4,14.799999999999995,-0.781133824506037,146.86010071018697,0,109.1792526940432,92.9822014089179,16.197051285125298,15.554172833139233,111.82004098976887,98.8084201720442,13.011620817724676,13.674748558757713,2020-12-31,1.3813703719097674,144.43367377287444,0.8848337580490977,144.43367377287444,13.59,14.100000000000001,-3.805884773662551,0.5100000000000016,17.905884773662553,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,5.860370370370369,4.52333333333333,1.7155555555555573,1.7624999999999993,0.07285714285714207,1,1.0,1,1,1,3,3.0,1.0
9.5,34,30.73333333333333,29.513580246913577,25.683619544552478,127.2,126.96666666666668,93.2,96.2333333333333,Sun 1-03 1-03,H,79 (Ⅲ),Northwestern,"W, 85-66",71,119.4,59.4,16.9,36.4,21.9,92.7,45.2,14.0,18.9,19.0,6.0,-9.5,145.0,126.071875,124.94375,123.65014479500078,121.8794658971932,94.278515625,95.35703125,94.1365645480872,96.19584635264073,20210103,114.5,93.6,20.900000000000006,109.9,94.5,15.400000000000004,114.5,92.1,22.34,69.3,-9.05891066921258,143.66786936307187,69.49715504978663,-8.001332045141922,150.29319520887606,-9.781066278612467,150.29319520887606,-8.001332045141922,150.29319520887606,-9.781066278612467,149.25250983007214,108.7,93.8,14.95,70.5,114.5,93.6,20.900000000000006,109.9,94.5,15.400000000000004,-7.721540037263805,147.03873189268887,0,109.9956563604451,94.42096949277773,15.574686867667367,14.425786674780095,107.22310420811722,95.16439782339874,12.058706384718477,15.675357258074412,2021-01-03,-6.546422675575897,146.59005176213407,-1.3703764770563112,146.59005176213407,11.66,25.76,2.1627434842249658,14.100000000000001,23.597256515775037,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,7.173580246913577,8.39333333333333,5.860370370370369,2.862222222222222,1.7624999999999993,1,1.0,1,1,1,3,3.0,3.0
17.5,37,35.73333333333333,32.17572016460906,27.83205235463384,122.3,128.20000000000002,84.8,92.46666666666664,Wed 1-06 1-06,H,69 (Ⅲ),Minnesota,"W, 82-57",68,120.6,60.3,19.1,38.5,25.9,83.8,37.5,17.7,33.3,8.8,-8.5,-7.5,147.5,124.1859375,126.071875,123.20009653000055,121.95592664315805,89.53925781250003,94.278515625,91.02437636539149,94.12387428852422,20210106,115.7,93.4,22.3,110.5,93.5,17.0,115.5,92.1,23.36,69.1,-6.981749460560636,149.5235858675403,71.36073968705547,-7.950914788063741,154.4350595001428,-5.525005774455553,154.4350595001428,-7.950914788063741,154.4350595001428,-5.525005774455553,156.87967979401043,112.1,92.8,19.33,72.6,115.7,93.4,22.3,110.5,93.5,17.0,-8.924280358341408,154.35173248603792,0,112.02105471430029,92.81713658501408,19.20391812928621,18.431411575699364,107.177504245468,89.84409297355799,17.33341127191001,23.695257722228927,2021-01-06,-4.941005221801916,146.1340395043893,1.3373521954832057,146.1340395043893,13.64,39.400000000000006,10.028495656149977,25.76,29.371504343850027,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,8.815720164609061,12.373333333333328,7.173580246913577,3.9399999999999977,2.862222222222222,1,1.0,1,1,1,3,3.0,3.0
