ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.0,13,,13.799999999999995,13.799999999999995,114.3,0.0,100.5,0.0,Mon 11-07 11-07,H,115 (Ⅲ),Southern Utah,"W, 89-81",78,113.9,54.2,15.4,30.8,60.0,103.7,55.3,25.6,33.3,19.7,14.5,-8.0,155.5,114.3,0.0,114.3,114.3,100.5,0.0,100.5,100.5,20221107,105.6,97.1,8.5,102.1,102.3,-0.2,103.942,101.501,2.44043,74.3232,-6.847681810329192,161.585859118982,77.74122141678521,-11.657407705429577,164.60604760547818,-12.946857324306041,164.60604760547818,-11.657407705429577,164.60604760547818,-12.946857324306041,173.78046849288555,-6.582086656976031,101.358,101.87,-0.511491,73.533,105.6,97.1,8.5,102.1,102.3,-0.2,-12.946857324306041,173.78046849288555,0,101.0890445,101.8482996,-0.7592551000000043,-3.880204475,94.44018208,97.94841993,-3.5082378500000004,0.128631542,2022-11-07,154.97434550070716,10.55957,10.55957,0.0,0.0,10.55957,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.7769415761393583,0.7346262640168384,11.359569999999994,,0.0,10.55957,0.0,1,0.0,1,1,1,3,0.0,0.0
-3.0,14,,13.866666666666664,13.836363636363632,113.2,0.0,99.2,0.0,Fri 11-11 11-11,H,90 (Ⅲ),South Alabama,"W, 80-74",73,109.8,48.5,8.2,26.3,34.8,101.5,56.6,20.6,20.0,9.8,5.5,-9.0,148.5,113.75,114.3,113.93333333333334,114.1,99.85,100.5,100.06666666666668,100.26363636363637,20221111,106.2,97.6,8.600000000000009,98.7,97.6,1.1000000000000083,104.145,101.704,2.44045,74.3401,-9.49484888522295,150.9572746783057,75.20944560753912,-9.926554849456835,153.82469081754195,-9.679143027148982,153.82469081754195,-9.926554849456835,153.82469081754195,-9.679143027148982,163.2276196090699,1.6405944816737872,95.5901,100.114,-4.52404,71.1221,106.2,97.6,8.600000000000009,98.7,97.6,1.1000000000000083,-9.679143027148982,163.2276196090699,0,101.0890445,101.8482996,-0.7592551000000043,-3.880204475,103.2488593,96.30417035,6.94468895,9.153998065,2022-11-11,155.4417023292243,11.55955,22.119120000000002,10.55957,10.55957,11.559550000000002,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,3,0.804317030846224,0.4379191286522378,11.426216666666663,,11.359569999999994,11.059560000000001,10.55957,1,1.0,1,1,1,3,3.0,0.0
24.5,28,18.666666666666668,18.64444444444445,16.447933884297516,111.8,113.1,83.6,94.43333333333334,Tue 11-15 11-15,A,157 (Ⅲ),SMU,"W, 84-63",76,109.9,56.8,13.1,16.1,42.4,82.4,40.6,19.6,25.0,29.7,-5.0,3.5,152.0,112.775,113.75,113.22222222222224,113.68181818181816,91.725,99.85,94.57777777777778,97.23388429752065,20221115,107.3,98.9,8.399999999999991,99.5,97.1,2.4000000000000057,105.122,102.901,2.22119,73.5837,7.14909304496328,154.35377881191127,74.61889600711238,-0.08485792700982131,154.3596984819909,-4.209178147513452,154.3596984819909,-0.08485792700982131,154.3596984819909,-4.209178147513452,155.49571816701797,9.064221468170757,102.795,96.9977,5.79718,71.289,107.3,98.9,8.399999999999991,99.5,97.1,2.4000000000000057,-4.209072432418362,155.43060372266396,0,101.0890445,101.8482996,-0.7592551000000043,-3.880204475,104.3871099,99.13145824,5.255651659999998,8.891908645,2022-11-15,157.61305303206234,25.77881,47.89793,14.412753333333335,22.119120000000002,33.48517666666667,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-3,0.36944134018176367,0.19399748904392577,16.42325444444445,16.445476666666668,11.426216666666663,15.965976666666666,11.059560000000001,1,1.0,1,1,1,3,3.0,3.0
5.0,22,21.666666666666668,20.029629629629632,17.602854996243423,111.0,112.0,88.2,90.33333333333331,Fri 11-25 11-25,H,233 (Ⅳ),Jacksonville St.,"W, 79-61",70,112.4,46.8,11.4,36.8,44.4,86.8,46.6,18.5,16.2,19.0,-7.5,-13.0,147.5,111.8875,112.775,112.4814814814815,113.19421487603304,89.9625,91.725,92.45185185185188,95.59135987978962,20221125,109.0,98.9,10.099999999999994,100.6,104.0,-3.4000000000000057,107.383,102.49,4.89319,72.3919,-10.784813942909466,148.69330215832835,70.02418028918919,-14.210774288211226,152.85135230534104,-19.307906955687624,152.85135230534104,-14.210774288211226,152.85135230534104,-19.307906955687624,147.48799402422486,-13.159380320899118,99.3216,103.652,-4.33056,68.0007,109.0,98.9,10.099999999999994,100.6,104.0,-3.4000000000000057,-19.213810396599673,147.15196770121725,0,105.0998951,96.36258622,8.73730888,2.679052057,92.68388053,97.34246524,-4.6585847099999995,8.639069075,2022-11-25,137.6133472157795,17.10681,65.00474,25.57447888888889,47.89793,39.43026111111111,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.8921596253194927,0.8949470539291077,15.136439629629631,16.773476666666667,16.42325444444445,16.251185,15.965976666666666,1,1.0,1,1,1,3,3.0,3.0
7.0,14,21.96666666666667,18.31975308641976,17.111426815108256,97.5,106.76666666666668,82.6,84.8,Sat 11-26 11-26,H,234 (Ⅳ),North Dakota St.,"W, 76-55",72,105.7,49.1,15.3,25.0,51.8,76.5,36.4,18.1,23.3,35.6,-20.5,-14.0,151.5,104.69375,111.8875,107.48765432098767,110.34072126220886,86.28125,89.9625,89.16790123456792,93.2292944471006,20221126,109.3,98.1,11.200000000000005,96.2,105.5,-9.299999999999995,107.556,101.925,5.63111,72.2202,-13.761282271717121,155.83771429364145,72.46829641963016,-19.868991907367416,155.8359126007606,-28.946481371565444,155.8359126007606,-19.868991907367416,155.8359126007606,-28.946481371565444,153.16423358756714,-19.711326203207364,99.4204,106.341,-6.9204,70.5415,109.3,98.1,11.200000000000005,96.2,105.5,-9.299999999999995,-29.088558362001017,153.0588178229588,0,105.0998951,96.36258622,8.73730888,2.679052057,94.62830017,106.6529618,-12.024661629999997,-12.34785759,2022-11-26,151.08812296529757,8.36889,73.37362999999999,38.71789925925926,65.00474,34.65573074074073,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,3,0.9087887802741321,0.9697593937388096,12.68864308641976,16.33555666666667,15.136439629629631,14.674726,16.251185,1,1.0,1,1,1,3,3.0,3.0
10.5,15,17.833333333333332,17.479835390946505,16.872985575997664,119.7,109.4,103.9,91.56666666666668,Sun 11-27 11-27,H,232 (Ⅳ),Northern Colorado,"W, 98-74",74,132.7,59.0,19.0,53.1,29.9,100.2,59.6,25.7,22.6,19.3,17.5,-13.5,154.5,112.196875,104.69375,111.5584362139918,112.0424083054436,95.090625,86.28125,94.07860082304528,95.16942272944593,20221127,108.4,97.2,11.200000000000005,102.8,109.1,-6.299999999999997,107.328,100.911,6.41746,71.5132,-12.470822733080112,155.79713000083962,70.05872527226173,-17.534722303972018,156.83876448204867,-19.04461138975879,156.83876448204867,-17.534722303972018,156.83876448204867,-19.04461138975879,150.9038133630343,-16.994076152443284,104.787,109.367,-4.58032,68.8702,108.4,97.2,11.200000000000005,102.8,109.1,-6.299999999999997,-21.77926528472122,147.6220225251655,0,101.9823416,94.62816653,7.354175069999997,3.554197246,97.13117904,107.8216594,-10.690480359999995,-13.24914934,2022-11-27,145.13369413777647,8.58254,81.95616999999999,50.26980950617284,73.37362999999999,31.686360493827145,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.900728603156669,0.9472207739262092,11.062375390946505,11.415873333333332,12.68864308641976,13.659361666666669,14.674726,1,1.0,1,1,1,3,3.0,3.0
13.0,27,19.26666666666667,20.686556927297676,18.73244274399809,115.4,110.86666666666667,88.3,91.6,Wed 11-30 11-30,A,11 (I-A),Saint Mary's,"W, 69-65",69,100.4,53.9,24.7,20.0,31.4,94.6,51.1,21.8,25.8,57.4,-3.0,9.0,137.0,113.7984375,112.196875,112.83895747599456,112.65287952263569,91.6953125,95.090625,92.15240054869687,93.92043677863757,20221130,109.1,97.5,11.599999999999994,106.2,87.3,18.90000000000001,107.698,100.205,7.4933,71.5692,12.134032090526112,132.78499879739218,65.85414995675676,9.363486051768689,134.39893917879112,9.918130662776184,134.39893917879112,9.363486051768689,134.39893917879112,9.918130662776184,121.84051257256115,14.228677611153287,107.328,87.927,19.4009,64.6863,109.1,97.5,11.599999999999994,106.2,87.3,18.90000000000001,10.779769326345379,126.9801523658764,0,102.1999508,94.40874458,7.791206219999992,6.841391212,107.3900181,83.70696324,23.683054860000013,30.93005386,2022-11-30,126.53558066877754,19.506700000000002,101.46286999999998,60.83192967078189,81.95616999999999,40.63094032921809,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.19568296915377603,0.08769091356000258,13.193256927297677,11.77336666666667,11.062375390946505,14.494695714285715,13.659361666666669,1,1.0,1,1,1,3,3.0,3.0
-2.0,13,18.73333333333333,18.224371284865114,17.74472588145298,119.6,118.23333333333332,106.3,99.5,Sat 12-10 12-10,H,263 (Ⅳ),UTSA,"W, 94-76",74,127.2,55.8,10.8,29.0,88.5,102.9,47.5,20.3,28.6,37.7,22.0,-20.0,148.0,116.69921875,113.7984375,115.0926383173297,113.9159923367019,98.99765625,91.6953125,96.8682670324646,96.17126645524893,20221210,110.3,97.4,12.899999999999991,95.3,106.2,-10.900000000000006,108.978,99.8395,9.13822,71.6896,-19.416701790317312,144.18854829836073,68.20485318463727,-21.096431534317944,147.17369006033385,-27.213915453804862,147.17369006033385,-21.096431534317944,147.17369006033385,-27.213915453804862,140.7933841992543,-20.143736359161153,94.7068,107.573,-12.8665,66.8828,110.3,97.4,12.899999999999991,95.3,106.2,-10.900000000000006,-25.964747666039788,140.64926627051008,0,102.9941321,92.72889881,10.265233289999998,7.724242066,92.38337239,105.875769,-13.49239661,-12.31829366,2022-12-10,136.50108413664424,3.8617799999999995,105.32464999999998,74.37557644718792,101.46286999999998,30.949073552812052,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9715944860326362,0.9724730803841458,9.086151284865114,9.59511333333333,13.193256927297677,13.165581249999999,14.494695714285715,1,1.0,1,1,1,3,3.0,3.0
-1.0,6,15.533333333333337,14.21624752324341,15.64568481209789,99.7,111.56666666666666,93.5,96.03333333333336,Mon 12-12 12-12,N,102 (Ⅲ),San Francisco,"W, 67-64",67,100.2,46.5,15.0,28.1,31.6,95.7,45.8,16.5,29.4,21.7,-25.5,-4.0,156.5,108.199609375,116.69921875,109.9617588782198,111.33126645730157,96.248828125,98.99765625,95.7455113549764,95.68558164520364,20221212,111.1,98.0,13.099999999999994,103.3,96.5,6.799999999999997,109.945,100.574,9.37098,72.4602,-2.2487651361899736,159.3982392952169,74.60607326287341,-4.55634629779928,158.88747506782366,-7.167035501322744,158.88747506782366,-4.55634629779928,158.88747506782366,-7.167035501322744,157.56152400645513,-7.829751157256283,105.242,99.0271,6.21495,72.3819,111.1,98.0,13.099999999999994,103.3,96.5,6.799999999999997,-8.372545576464463,151.64686880280118,0,103.4091723,94.90888164,8.50029065999999,6.107307546,97.16619674,99.11234106,-1.946144320000002,-4.646604929,2022-12-12,148.4180562869212,-3.3709799999999994,101.95366999999997,84.69193429812528,105.32464999999998,17.2617357018747,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.6483807083005341,0.7720728264804997,4.845267523243411,6.162353333333337,9.086151284865114,11.328185555555557,13.165581249999999,1,1.0,1,1,1,3,3.0,3.0
5.0,23,14.233333333333334,17.210831682162276,17.019196664443726,114.5,111.26666666666668,91.3,97.03333333333332,Sun 12-18 12-18,H,71 (Ⅱ),Iona,"W, 82-74",76,107.6,61.0,21.0,15.4,58.0,97.1,43.0,15.8,31.1,22.5,5.0,-3.0,151.0,111.3498046875,108.199609375,111.4745059188132,111.90739982870129,93.7744140625,96.248828125,94.26367423665091,94.88820316425752,20221218,110.4,97.3,13.100000000000009,107.4,94.6,12.800000000000011,109.338,99.5281,9.81033,71.4302,-1.7804837217315992,149.72916618147087,71.32656016500711,-4.2233681338829,152.47387866847848,-0.4435905357148109,152.47387866847848,-4.2233681338829,152.47387866847848,-0.4435905357148109,142.44648884663474,2.287753116324808,107.72,94.9463,12.7741,70.198,110.4,97.3,13.100000000000009,107.4,94.6,12.800000000000011,-2.0902949954140553,144.8906255717134,0,103.3294327,94.34528373,8.984148969999993,7.175970462,106.7734476,89.22883008,17.544617520000003,28.45238913,2022-12-18,140.62221974394768,13.18967,115.14333999999997,90.44584619875019,101.95366999999997,24.697493801249777,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.6124515189020077,0.41376081858810154,7.400501682162275,4.423003333333334,4.845267523243411,11.514334,11.328185555555557,1,1.0,1,1,1,3,3.0,3.0
